
--------------------------------- AERODYNAMIC DATABASE @SEA LEVEL ---------------------------------
DATA IN S.I. UNITS		BODY AXES REFERENCE

MASS                                              0.8856                   
WING SPAN                                         0.855                    
WING AREA                                         0.240683                 
CHORD                                             0.293699                 
MACH DRAG RISE                                    0.6                      
THRUST AXIS OFFSET (REF. TO XB ALONG X)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Y)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Z)           0                        
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Y PLANE / POSITIVE RIGHT)         
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Z PLANE / POSITIVE RIGHT)         
NUMBER OF ANGLES OF ATTACK                        106                      
ROTARY DERIVATIVES                                PRESENT                  
CENTER OF GRAVITY                                 0.111                    
(REFERENCE LOCATION REF. TO CMAER)                
JX                                                0.00814267               
JY                                                0.0113792                
JZ                                                0.019049                 
JXZ                                               1.01917e-05              
OPTION FOR C.G. UPDATE                            NO                       
CENTER OF GRAVITY REFERENCE LOCATION (UPDATED)    0.111                    
PILOT POSITION (REF. TO CG ALONG XB)              0                        
PILOT POSITION (REF. TO CG ALONG YB)              0                        
PILOT POSITION (REF. TO CG ALONG ZB)              0                        

		DEFLECTION LIMITS
ELEVATOR (max)                                    20                       
ELEVATOR (min)                                    -20                      
AILERONS (symmetrical)                            20                       
RUDDER   (symmetrical)                            20                       
FLAP (up)                                         0                        
FLAP (down)                                       30                       

		FUEL MASS
MASS SWITCH                                       VARIABLE                 
FUEL WEIGHT FRACTION (REF. TO TOW)                0.33                     

		STEADY STATE COEFFICIENTS
ALPHA (deg)         CX                  CY                  CZ                  CL                  CM                  CN                  
-5                  -0.001855           0                   0.238019            0                   0.024467            0                   
-4.8                -0.002633           0                   0.226632            0                   0.023378            0                   
-4.6                -0.003412           0                   0.215246            0                   0.022289            0                   
-4.4                -0.00419            0                   0.203859            0                   0.0212              0                   
-4.2                -0.004977           0                   0.191107            0                   0.019906            0                   
-4                  -0.005773           0                   0.176988            0                   0.018407            0                   
-3.8                -0.006568           0                   0.16287             0                   0.016908            0                   
-3.6                -0.007363           0                   0.148752            0                   0.01541             0                   
-3.4                -0.007902           0                   0.137079            0                   0.014416            0                   
-3.2                -0.008441           0                   0.125407            0                   0.013422            0                   
-3                  -0.00898            0                   0.113734            0                   0.012428            0                   
-2.8                -0.009449           0                   0.102062            0                   0.011449            0                   
-2.6                -0.009847           0                   0.09039             0                   0.010487            0                   
-2.4                -0.010246           0                   0.078718            0                   0.009524            0                   
-2.2                -0.010645           0                   0.067045            0                   0.008561            0                   
-2                  -0.010706           0                   0.056159            0                   0.007792            0                   
-1.8                -0.010768           0                   0.045273            0                   0.007024            0                   
-1.6                -0.01083            0                   0.034386            0                   0.006255            0                   
-1.4                -0.010808           0                   0.023727            0                   0.005456            0                   
-1.2                -0.010703           0                   0.013294            0                   0.004628            0                   
-1                  -0.010599           0                   0.002862            0                   0.0038              0                   
-0.8                -0.010494           0                   -0.00757            0                   0.002971            0                   
-0.6                -0.010486           0                   -0.020787           0                   0.001076            0                   
-0.4                -0.010479           0                   -0.034003           0                   -0.000819           0                   
-0.2                -0.010471           0                   -0.047219           0                   -0.002714           0                   
0                   -0.010428           0                   -0.061028           0                   -0.004743           0                   
0.2                 -0.010349           0                   -0.075428           0                   -0.006907           0                   
0.4                 -0.010271           0                   -0.089828           0                   -0.00907            0                   
0.6                 -0.010192           0                   -0.104228           0                   -0.011233           0                   
0.8                 -0.009851           0                   -0.108797           0                   -0.012934           0                   
1                   -0.00951            0                   -0.113365           0                   -0.014635           0                   
1.2                 -0.009169           0                   -0.117934           0                   -0.016336           0                   
1.4                 -0.008785           0                   -0.125922           0                   -0.017816           0                   
1.6                 -0.008356           0                   -0.137329           0                   -0.019075           0                   
1.8                 -0.007928           0                   -0.148737           0                   -0.020333           0                   
2                   -0.0075             0                   -0.160144           0                   -0.021592           0                   
2.2                 -0.006875           0                   -0.171788           0                   -0.022664           0                   
2.4                 -0.00625            0                   -0.183431           0                   -0.023736           0                   
2.6                 -0.005625           0                   -0.195074           0                   -0.024808           0                   
2.8                 -0.004916           0                   -0.206386           0                   -0.025902           0                   
3                   -0.004123           0                   -0.217367           0                   -0.027016           0                   
3.2                 -0.00333            0                   -0.228348           0                   -0.02813            0                   
3.4                 -0.002536           0                   -0.239329           0                   -0.029244           0                   
3.6                 -0.001573           0                   -0.250293           0                   -0.030393           0                   
3.8                 -0.000609           0                   -0.261257           0                   -0.031543           0                   
4                   0.000354            0                   -0.272221           0                   -0.032692           0                   
4.2                 0.001402            0                   -0.283173           0                   -0.033839           0                   
4.4                 0.002535            0                   -0.294115           0                   -0.034983           0                   
